observation_id,student_id,observed_on,category,observation_text,source_role,follow_up_required,status
OBS00077,S0291,2026-08-04,improvement,Attendance and assignment completion improved after the previous mentor follow-up.,mentor,False,CLOSED
OBS00078,S0297,2026-08-04,improvement,Attendance and assignment completion improved after the previous mentor follow-up.,mentor,False,CLOSED
OBS00079,S0301,2026-08-27,attendance,Repeated late arrival to first-hour classes observed over the last two weeks; attendance recovery target discussed.,mentor,True,OPEN
OBS00080,S0302,2026-08-19,assessment,Missed one internal assessment and two quiz attempts; subject support is being considered before the next checkpoint.,mentor,True,OPEN
OBS00081,S0303,2026-08-09,academic_performance,Student is finding Database Management Systems difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00082,S0304,2026-08-12,support,Student reported a short-term family responsibility affecting attendance and study time; mentor scheduled a follow-up.,mentor,True,OPEN
OBS00083,S0305,2026-08-10,attendance,Repeated late arrival to first-hour classes observed over the last two weeks; attendance recovery target discussed.,mentor,True,OPEN
OBS00084,S0306,2026-08-20,attendance,Repeated late arrival to first-hour classes observed over the last two weeks; attendance recovery target discussed.,mentor,True,OPEN
OBS00085,S0307,2026-08-14,assessment,Missed one internal assessment and two quiz attempts; subject support is being considered before the next checkpoint.,mentor,True,OPEN
OBS00086,S0308,2026-08-25,attendance,Repeated late arrival to first-hour classes observed over the last two weeks; attendance recovery target discussed.,mentor,True,OPEN
OBS00087,S0310,2026-08-07,academic_performance,Student is finding Design and Analysis of Algorithms difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00088,S0322,2026-08-21,improvement,Attendance and assignment completion improved after the previous mentor follow-up.,mentor,False,CLOSED
OBS00089,S0351,2026-08-13,academic_performance,Student is finding Computer Networks difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00090,S0352,2026-08-24,assessment,Missed one internal assessment and two quiz attempts; subject support is being considered before the next checkpoint.,mentor,True,OPEN
OBS00091,S0353,2026-08-18,assessment,Missed one internal assessment and two quiz attempts; subject support is being considered before the next checkpoint.,mentor,True,OPEN
OBS00092,S0354,2026-08-22,support,Student reported a short-term family responsibility affecting attendance and study time; mentor scheduled a follow-up.,mentor,True,OPEN
OBS00093,S0355,2026-08-15,assessment,Missed one internal assessment and two quiz attempts; subject support is being considered before the next checkpoint.,mentor,True,OPEN
OBS00094,S0356,2026-08-14,attendance,Repeated late arrival to first-hour classes observed over the last two weeks; attendance recovery target discussed.,mentor,True,OPEN
OBS00095,S0357,2026-08-07,academic_performance,Student is finding Database Management Systems difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00096,S0358,2026-08-24,assessment,Missed one internal assessment and two quiz attempts; subject support is being considered before the next checkpoint.,mentor,True,OPEN
OBS00097,S0359,2026-08-09,attendance,Repeated late arrival to first-hour classes observed over the last two weeks; attendance recovery target discussed.,mentor,True,OPEN
OBS00098,S0362,2026-08-31,attendance,Repeated late arrival to first-hour classes observed over the last two weeks; attendance recovery target discussed.,mentor,True,OPEN
OBS00099,S0363,2026-08-15,improvement,Attendance and assignment completion improved after the previous mentor follow-up.,mentor,False,CLOSED
OBS00100,S0369,2026-08-20,improvement,Attendance and assignment completion improved after the previous mentor follow-up.,mentor,False,CLOSED
OBS00101,S0398,2026-08-06,improvement,Attendance and assignment completion improved after the previous mentor follow-up.,mentor,False,CLOSED
OBS00102,S0401,2026-08-12,health_related,Absent for three consecutive days due to fever; mentor requested a check-in after return.,mentor,True,OPEN
OBS00103,S0402,2026-08-24,support,Student reported a short-term family responsibility affecting attendance and study time; mentor scheduled a follow-up.,mentor,True,OPEN
OBS00104,S0403,2026-08-25,health_related,Absent for three consecutive days due to fever; mentor requested a check-in after return.,mentor,True,OPEN
OBS00105,S0404,2026-08-19,attendance,Repeated late arrival to first-hour classes observed over the last two weeks; attendance recovery target discussed.,mentor,True,OPEN
OBS00106,S0405,2026-08-24,academic_performance,Student is finding Design and Analysis of Algorithms difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00107,S0406,2026-08-08,health_related,Absent for three consecutive days due to fever; mentor requested a check-in after return.,mentor,True,OPEN
OBS00108,S0432,2026-08-09,improvement,Attendance and assignment completion improved after the previous mentor follow-up.,mentor,False,CLOSED
OBS00109,S0437,2026-08-03,improvement,Attendance and assignment completion improved after the previous mentor follow-up.,mentor,False,CLOSED
OBS00110,S0441,2026-08-23,improvement,Attendance and assignment completion improved after the previous mentor follow-up.,mentor,False,CLOSED
OBS00111,S0451,2026-08-08,academic_performance,Student is finding Design and Analysis of Algorithms difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00112,S0452,2026-08-05,attendance,Repeated late arrival to first-hour classes observed over the last two weeks; attendance recovery target discussed.,mentor,True,OPEN
OBS00113,S0453,2026-08-10,health_related,Absent for three consecutive days due to fever; mentor requested a check-in after return.,mentor,True,OPEN
OBS00114,S0454,2026-08-31,assessment,Missed one internal assessment and two quiz attempts; subject support is being considered before the next checkpoint.,mentor,True,OPEN
OBS00115,S0455,2026-09-01,attendance,Recent first-hour attendance was affected by recurring transport delays; mentor is reviewing a practical attendance plan.,mentor,True,OPEN
OBS00116,S0456,2026-08-15,academic_performance,Student is finding Design and Analysis of Algorithms difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00117,S0457,2026-08-07,health_related,Absent for three consecutive days due to fever; mentor requested a check-in after return.,mentor,True,OPEN
OBS00118,S0458,2026-08-30,academic_performance,Student is finding Database Management Systems difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00119,S0459,2026-08-19,attendance,Repeated late arrival to first-hour classes observed over the last two weeks; attendance recovery target discussed.,mentor,True,OPEN
OBS00120,S0460,2026-08-13,academic_performance,Student is finding Database Management Systems difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00121,S0462,2026-08-14,academic_performance,Student is finding Computer Networks difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00122,S0463,2026-08-18,academic_performance,Student is finding Computer Networks difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00123,S0464,2026-08-07,academic_performance,Student is finding Design and Analysis of Algorithms difficult and has requested additional problem-solving support.,mentor,True,OPEN
