alert_id,student_id,teacher_id,risk_type,risk_score,priority_score,confidence_level,intervenability_score,created_at,alert_status,intervention_id,intervention_type,suggested_action,action_taken,intervention_date,follow_up_date,outcome_status,outcome_notes,risk_score_after_intervention
ALT00014,S0031,T005,attendance,54.8,45.0,Medium,Medium,2026-08-28,NEW,,,Schedule a check-in to understand the cause of absences,,,,,,
ALT00015,S0031,T005,backlog,83.5,63.7,High,Medium,2026-09-01,NEW,,,Connect student with subject-specific remedial support,,,,,,
ALT00016,S0031,T005,support_attention,100.0,67.5,High,Medium,2026-08-28,ACKNOWLEDGED,INT00016,mentor_check_in,"Reach out proactively for a supportive, non-academic conversation","Reach out proactively for a supportive, non-academic conversation",2026-08-29,,,,
ALT00017,S0032,T006,support_attention,100.0,69.7,High,Medium,2026-08-28,ACKNOWLEDGED,INT00017,mentor_check_in,"Reach out proactively for a supportive, non-academic conversation","Reach out proactively for a supportive, non-academic conversation",2026-08-29,,,,
ALT00018,S0033,T007,attendance,73.2,60.7,High,Medium,2026-09-01,NEW,,,Schedule a check-in to understand the cause of absences,,,,,,
ALT00019,S0033,T007,gpa,50.4,44.7,Medium,Medium,2026-08-26,NEW,,,Recommend academic counseling and a study plan review,,,,,,
ALT00020,S0033,T007,backlog,71.0,53.3,High,Medium,2026-08-27,ACTION_TAKEN,INT00020,mentor_check_in,Connect student with subject-specific remedial support,Connect student with subject-specific remedial support,2026-08-28,,,,
ALT00021,S0033,T007,support_attention,100.0,71.4,High,Medium,2026-08-29,NEW,,,"Reach out proactively for a supportive, non-academic conversation",,,,,,
ALT00022,S0034,T005,attendance,63.0,61.7,Medium,High,2026-08-29,ACTION_TAKEN,INT00022,mentor_check_in,Schedule a check-in to understand the cause of absences,Schedule a check-in to understand the cause of absences,2026-08-31,,,,
ALT00023,S0036,T007,attendance,62.7,66.0,Medium,High,2026-08-30,RESOLVED,INT00023,mentor_check_in,Schedule a check-in to understand the cause of absences,Schedule a check-in to understand the cause of absences,2026-09-02,2026-09-07,improved,Student showed measurable improvement after intervention.,33.0
ALT00024,S0037,T005,support_attention,55.0,48.1,Medium,Medium,2026-08-23,FOLLOW_UP,INT00024,mentor_check_in,"Reach out proactively for a supportive, non-academic conversation","Reach out proactively for a supportive, non-academic conversation",2026-08-25,2026-09-03,,,
ALT00025,S0038,T006,support_attention,55.0,49.0,Medium,Medium,2026-08-31,RESOLVED,INT00025,mentor_check_in,"Reach out proactively for a supportive, non-academic conversation","Reach out proactively for a supportive, non-academic conversation",2026-09-03,2026-09-11,improved,Student showed measurable improvement after intervention.,32.9
ALT00026,S0039,T007,support_attention,55.0,51.7,Medium,Medium,2026-08-31,RESOLVED,INT00026,mentor_check_in,"Reach out proactively for a supportive, non-academic conversation","Reach out proactively for a supportive, non-academic conversation",2026-09-02,2026-09-05,improved,Student showed measurable improvement after intervention.,43.3
